103690.82	6413771
1472755.9	7733505
1618022.9	7061466
1647413.14	5705437
1751286.15	6463965
1869241.20	6990729
1914872.23	5294286
2038116.21	8363872
211165.20	7409323
2490939.10	7013200
2572090.7	7887247
2576902.6	7828336
2576903.5	7495445
2576904.6	6765102
2653204.7	6481972
272123.44	6395836
2764711.14	7141037
28072.26	6635030
2914041.10	6421060
3025190.14	6618685
3134896.7	8388664
317936.27	6329823
3349875.4	7883191
3349876.5	7175855
446679.11	6531820
449208.14	6802717
46234.36	4329264
63737.69	8234322
76335.23	7340101
